List of the calibration lines for TDS calibration lamp
Lam Intens Atom Ion Note
3639.5677 13.3 Pb I -
3683.4625 42.8 Pb I -	
3739.9353 24.2 Pb I -	
3888.6480 382 He I Яркая
4019.6321 22.0 Pb I -	
4057.8067 884 Pb I Самая_яркая_в_“B”
4088.337 13.7 Kr II -	
4120.8154 8.1 He I - 
4168.0328 13.5 Pb I -	
4244.920 19.8 Pb II ?
4273.9694 31 Kr I Мультиплет
4292.923 23.2 Kr II	_
4300.490 7.3 Kr II	- 
4319.5794 58.2 Kr I -	
4355.477 43.1 Kr II -	
4362.6416 13.7 Kr I	- 
4386.54 29.4 Kr II Pb_II_??
4432.30 11.9 Na I -
4437.551 11.6 He I -
4453.9175 13.5 Kr I	-
4463.6900 20 Kr I -
4471.4802 231 He I Яркая
4489.880 6 Kr II -
4502.3543 16.2 Kr I -	
4523.140 6 Kr II -
4577.209 26	Kr II Pb_II(4579.051)??
4582.270 8 Pb II ??
4611 6 ? ? ?
4615.292 15	Kr II -	
4619.166 22	Kr II -
4633.885 17	Kr II -
4658.876 20.5 Kr II -	
4680.406 12.5 Kr II	-
4695 13	? ? ?
4713.1457 76 He I Яркая
4739.002 35	Kr II -
4762.435 18	Kr II -
4765.744 36	Kr II -
4806 6 ? ? ?
4811.760 7 Kr II -
4825.180 8 Kr II -
4832.077 13	Kr II -
4846.612 17	Kr II -
4921.9313 81.3 He I Яркая
4945.590 7 Kr II -
4978.5414 6 Na I Слабая
4982.8134 7 Na I Слабый
5005.1587 22 Ne I Не_разрешаются
5015.678 309 He I Яркая
5022.400 9 Kr II -
5037.7512 7 Ne I Слабая
5042.580 7 Pb II ?
5071.2 8 Na I Слабая
5074.2007 8	Ne I -
5076.5971 8 Ne I -
5080.3830 6 Ne I -
5116.5032 7	Ne I -
5144.9384 6	Ne I Слабая
5188.6122 7	Ne I -
5201.43711 12 Pb I -
5203.8962 7 Ne I -
5208.8648 8 Ne I -
5330.7775 11 Ne I -
5333.3083 5 Ne I -
5341.0938 11 Ne I -
5343.2834 6	Ne I -
5372.099 15 Pb II ?
5400.5616 40 Ne I -
5521 3 ? ? ? 
5542 7 ? ? ?
5570.2894 138 Kr I Яркая
5580.3873 9	Kr I -
5608.850 33	Pb II ?
5649.5618 10 Kr I -
5656.6588 7	Ne I -
5662.5489 5	Ne I Слабая
5681.890 3 Kr II -
5682.6333 16 Na I -
5718.8798 3	Ne I Не_разрешаются
5719.2248 6	Ne I Не_разрешаются
5748.2985 7	Ne I -
5764.4188 18 Ne I -
5804.4496 5	Ne I -
5820.1558 6	Ne I -
5833 5 ? ? ?
5852.4878 1710 Ne I	Яркая
5870.9160 129 Kr I -	
5919 6 ? ? ?
5944.8342 417	Ne I -
5965.4710 7 Ne I -
5974.6273 40 Ne I Не_разрешаются
5975.5343 45 Ne I Не_разрешаются
5987.9074 4 Ne I -
5993.8502 7 Kr I -
6002 5 ? ? ?
6012 7 ? ? ?
6029.9968 113 Ne I -
6056.1263 6	Kr I -
6074.3376 473 Ne I Яркая
6081.409 13	Pb II ??
6096.1630 762 Ne I Яркая
6128.4498 16 Ne I Слабая
6143.0627 1310 Ne I	Яркая
6155.134 7 Si I ??
6159.890 15	Pb II ??
6163.5937 362 Ne I Яркая
6182.1460 5	Ne I Слабая
6214 6 Ne I Еле_видна
6217.2812 197 Ne I Средняя
6237.320 1 Si I	На_пределе
6266.4952 726 Ne I Яркая
6304.7893 251 Ne I Средняя
6328.1646 10 Ne I Слабая
6334.4276 922 Ne I Яркая
6382.9914 1103 Ne I	Яркая
6402.2480 3243 Ne I	Яркая
6456.2889 27 Kr I Слабая
6506.5277 1749 Ne I	Яркая
6532.8824 389 Ne I Средняя
6570.070 1 Kr II -
6598.9528 653 Ne I Средняя
6660.200 49	Pb II ?
6678.151 1947 He I Яркая
6699.2296 6	Kr I Слабая
6717.0430 710 Ne I ?
6813 3 ? ? ?
6904.6788 14 Kr I Слабая
6929.4672 965 Ne I Яркая
7014 1 ? ? ?
7032.4128 1470 Ne I Яркая
7065.190 1198 He I Яркая
7173.9380 129 Ne I Средняя
7228.9653 126 Pb I Средняя
7245.1665 461 Ne I Яркая
7281.349 193 He I Средняя
7287.258 7 Kr I Слабая
7425.541 6 Kr I Слабая
7438.8981 91 Ne I Слабая
7472.4383 7	Ne I Слабая
7488.8712 85 Ne I Слабая
